책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-10-18,jm***,한달 후 리뷰,4,내용이 유익하고 도움이 많이 됐어요,9791158394233,4.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-18,y9***************,,4,"adsp 자격증 공부할 때 교재를 어떤 걸로 선택할지 고민이 많았는데 가독성도 좋고 부가적으로 제공되는 컨텐츠도 많다고 해서 선택했습니다!
오프라인 책도 있고 e북도 있어서 선택의 폭이 더 넓어요ㅎㅎ 추천합니다",9791158394059,4.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-18,na*****,구매자,4,개념 이해하고 문제 풀수 있게끔 구성되어 좋았어요,9791158394059,4.0
[eBook] 그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/112033925,오가사와라 시게타카 저/심효섭 역,2022-08-17,2023-10-17,y*****3,구매,평점5점,도움이 많이 됩니다.,9791158393632,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-17,mary3657,구매,5점,카페도 잘 돼있고 책도 너무 좋습니다!!,9791158394059,5.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-16,jk****************,,4,"사실 adsp를 공부하다가 보면 대표적인 책인 민트책을 살까 이 책을 살까 고민을 많이 했는데, 비전공자에게도 쉬운 설명과 해설이 이해하기 쉽고, 카페나 앱 등 접근성이랑 더 많은 도움을 받을 수 있을거 같아서 이 책으로 구매를 했어요! 다들 좋은 결과 있기를 바래요!",9791158394059,4.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-15,jy********,,4,"초심자로써 도움 많이 받고 있어요
동영상 강의랑 같이 들으면 좋아요!",9791158394059,4.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-14,g********q,,평점5점,ChatGPT 초보자라면 이 한권으로 중급자가 될 수 있을 것 같아요. 다양한 실사용법 굿,9791158394721,5.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-10-14,g********q,,평점5점,API 활용법을 알고 싶은 분은 이 책이 정말 유용할 것 같아요!!,9791158394608,5.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-14,B*,,평점5점,"여러책 샀지만, 이 책이 카페등과 연계해서 진도 체크하고 수시 피드백받으며 공부하기 좋아요",9791158394059,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-14,마로그래,구매,5점,유튜브에 5시간 짜리 강의 올라와있어서 함께 보면서 공부하니 좋더라구요! 그리고 어플 통해서도 틈틈이 공부할 수 있어서 좋습니다!,9791158394059,5.0
진짜 챗GPT 활용법,https://product.kyobobook.co.kr/detail/S000209663807,"김준성,브라이스 유,안상준",2023-10-18,2023-10-14,li*****,구매자,4,챗gpt공부하기 좋은책입니다,9791158394721,4.0
진짜 챗GPT 활용법,https://product.kyobobook.co.kr/detail/S000209663807,"김준성,브라이스 유,안상준",2023-10-18,2023-10-14,gh******************,,4,"ChatGPT 초보자에게 꼭 필요한 책인 것 같아요
여러분야에서 활용하는 실 사용법이 상세히 나와있어서 좋아요",9791158394721,4.0
진짜 챗GPT API 활용법,https://product.kyobobook.co.kr/detail/S000208506795,"김준성,유원준,안상준",2023-08-23,2023-10-14,gh******************,,4,API를 활용하는 방법이 상세하게 나와있어서 너무 좋네요! 너무 큰 도움 받았습니다!,9791158394608,4.0
AWS 구조와 서비스,https://product.kyobobook.co.kr/detail/S000200882352,"우에노 후미아키,코바야시 쿄헤이,오자와 코스케,다카나시 토모유키,양현,김민호",2023-02-15,2023-10-14,sa********,구매자,4,aws에 대한 기본 개념을 잡기에 좋은책입니다.,9791158393977,4.0
